citation_key,authors,year,title,journal,doi,verification_status,source,relevance,notes
picone2002nrlmsise,"Picone, J. M.; Hedin, A. E.; Drob, D. P.; Aikin, A. C.",2002,NRLMSISE-00 empirical model of the atmosphere: Statistical comparisons and scientific issues,Journal of Geophysical Research 107(A12) 1468,10.1029/2002JA009430,verified,doi.org/wiley,Primary atmosphere model,DOI resolved to AGU/Wiley record
emmert2015review,"Emmert, J. T.",2015,Thermospheric mass density: A review,Advances in Space Research 56(5) 773-824,10.1016/j.asr.2015.05.038,verified,doi.org,"Density climatology, storm response, model uncertainty",DOI verified via publisher record
bowman2008jb2008,"Bowman, B.; Tobiska, W. K.; Marcos, F. A.; Huang, C.; Lin, C. S.; Burke, W. J.",2008,A New Empirical Thermospheric Density Model JB2008 Using New Solar and Geomagnetic Indices,AIAA/AAS Astrodynamics Specialist Conference AIAA-2008-6438,10.2514/6.2008-6438,verified,arc.aiaa.org,Model-form sensitivity reference,DOI verified via AIAA record
bruinsma2006storm,"Bruinsma, S.; Forbes, J. M.; Nerem, R. S.; Zhang, X.",2006,Thermosphere density response to the 20-21 November 2003 solar and geomagnetic storm from CHAMP and GRACE accelerometer data,Journal of Geophysical Research 111 A06303,10.1029/2005JA011284,verified,guvitimed.jhuapl.edu,Storm-time density enhancement 300-800% at 400-500 km,DOI verified via GUVI bibliography
parker2024gannon,"Parker, W. E.; Linares, R.",2024,Satellite Drag Analysis During the May 2024 Gannon Geomagnetic Storm,Journal of Spacecraft and Rockets 61(5),10.2514/1.A36164,verified,doi.org,Recent extreme storm drag quantification,DOI verified via AIAA
berger2023starlink,"Berger, T. E.; Dominique, M.; Lucas, G.; Pilinski, M.; Ray, V.; Sewell, R.; et al.",2023,The Thermosphere Is a Drag: The 2022 Starlink Incident and the Threat of Geomagnetic Storms to Low Earth Orbit Space Operations,Space Weather 21(3),10.1029/2022SW003330,verified,crossref-indexed,Geomagnetic storm operational drag loss,DOI cited in Parker & Linares 2024 record
vallado2008sgp4,"Vallado, D. A.; Crawford, P.",2008,SGP4 Orbit Determination,AIAA/AAS Astrodynamics Specialist Conference AIAA-2008-6770,10.2514/6.2008-6770,verified,arc.aiaa.org,Independent propagator for validation,DOI verified via AIAA record
moe2005gassurface,"Moe, M. M.; Moe, K.",2005,Gas surface interactions and satellite drag coefficients,Planetary and Space Science 53(8) 793-801,10.1016/j.pss.2005.03.005,verified,ui.adsabs.harvard.edu,Drag coefficient ~2.0-2.4 physical basis,DOI verified via ADS
shan2016adr,"Shan, M.; Guo, J.; Gill, E. K. A.",2016,Review and comparison of active space debris capturing and removal methods,Progress in Aerospace Sciences 80 18-32,10.1016/j.paerosci.2015.11.001,verified,research.tudelft.nl,Existing debris-removal approaches,DOI verified via TU Delft record
phipps2012lodr,"Phipps, C. R.; Baker, K. L.; Libby, S. B.; Liedahl, D. A.; Olivier, S. S.; Pleasance, L. D.; Rubenchik, A.; Trebes, J. E.; George, E. V.; Marcovici, B.; Reilly, J. P.; Valley, M. T.",2012,Removing orbital debris with lasers,Advances in Space Research 49(9) 1283-1300,10.1016/j.asr.2012.02.003,verified,ui.adsabs.harvard.edu,Non-contact drag/impulse debris removal comparator,DOI verified via ADS
liou2006risk,"Liou, J.-C.; Johnson, N. L.",2006,Risks in space from orbiting debris,Science 311(5759) 340-341,10.1126/science.1121337,verified,science-magazine-record,Debris environment context,DOI verified via Science 311:340 record
kinghele1987,"King-Hele, D.",1987,Satellite Orbits in an Atmosphere: Theory and Application,Blackie & Son Ltd (Glasgow/London),,verified_no_doi,publisher,Orbital lifetime scaling theory,Book; no DOI assigned
iadc2021,IADC,2021,IADC Space Debris Mitigation Guidelines (Rev. 3),IADC-02-01 Rev.3,,verified_no_doi,iadc-home.org,25-year/5-year post-mission disposal guideline,Inter-Agency Space Debris Coordination Committee document
noaa_swpc,NOAA Space Weather Prediction Center,2024,Space Weather Scales and NOAA / Boulder data,NOAA SWPC,,verified_no_doi,swpc.noaa.gov,Geomagnetic activity scale context,Institutional source
nrlmsis_code,NRL Space Science Division,2024,NRLMSISE-00 model code and documentation,NRL MAP pub,,verified_no_doi,map.nrl.navy.mil,Reference implementation source,Institutional source
drob2015hwm14,"Drob, D. P.; Emmert, J. T.; Meriwether, J. W.; Makela, J. J.; Doornbos, E.; Conde, M.; Hernandez, G.; Noto, J.; Zawdie, K. A.; McDonald, S. E.; et al.",2015,An update to the Horizontal Wind Model (HWM): The quiet time thermosphere,Earth and Space Science 2(7) 301-319,10.1002/2014EA000089,verified,doi.org/wiley,Observational basis for thermospheric horizontal wind magnitudes used in the advection/flushing grid,DOI resolved to AGU/Wiley record; HWM14 quiet-time winds tens to >100 m/s
bruinsma2007tad,"Bruinsma, S. L.; Forbes, J. M.",2007,Global observation of traveling atmospheric disturbances (TADs) in the thermosphere,Geophysical Research Letters 34(14) L14103,10.1029/2007GL030243,verified,doi.org/wiley,"Observed propagation and dispersal of localized thermospheric density disturbances (20-30% amplitude, 460-730 m/s phase speeds)",DOI resolved to AGU/Wiley record
knipp2004heating,"Knipp, D. J.; Tobiska, W. K.; Emery, B. A.",2004,Direct and indirect thermospheric heating sources for solar cycles 21-23,Solar Physics 224(1-2) 495-505,10.1007/s11207-005-6393-4,verified,doi.org/springer + ADS,"Global upper-atmosphere energy budget (solar 464 GW, Joule 95 GW, particles 36 GW) used as the comparator for the thermodynamic energy bound",DOI and abstract values confirmed via ADS record 2004SoPh..224..495K
