pair,matching,case,obj_type,alt_km,ephemeris,volume_ratio,delta_uniform,extra_dv_ms,natural_dv_ms,rel_to_natural,exposure_class
A,localized_tracking,A_target_highAm_400,target,400,drag_updated,0.00043532078156962613,5.0,3.530255998915804,1.5270206711632026,2.3118586837640147,physical_exposure
A,matched_target_exposure,A_target_highAm_400,target,400,drag_updated,0.00043532078156962613,5.0,7.967295160603104,1.5912270505851982,5.007013397411142,physical_exposure
A,matched_spacetime,A_target_highAm_400,target,400,drag_updated,0.00043532078156962613,0.0021766039078481305,0.0030576016605609354,1.4044675425230337,0.002177053985219306,physical_exposure
A,matched_thermal_energy,A_target_highAm_400,target,400,drag_updated,0.00043532078156962613,0.00036289896585922903,0.0005097643395890417,1.404410580324217,0.0003629738672798658,gaussian_tail
A,localized_tracking,A_protected_400,protected,400,drag_updated,0.00043532078156962613,5.0,4.246269726294484e-06,0.08595424010243512,4.940151551842042e-05,gaussian_tail
A,matched_target_exposure,A_protected_400,protected,400,drag_updated,0.00043532078156962613,5.0,0.432725679866959,0.0865385423791484,5.000380962867071,physical_exposure
A,matched_spacetime,A_protected_400,protected,400,drag_updated,0.00043532078156962613,0.0021766039078481305,0.0001870912375999723,0.08595448607486651,0.0021766314493116214,physical_exposure
A,matched_thermal_energy,A_protected_400,protected,400,drag_updated,0.00043532078156962613,0.00036289896585922903,3.11931119066947e-05,0.08595427615208273,0.0003629035494581251,gaussian_tail
D,localized_tracking,D_target_550,target,550,drag_updated,0.00041667471724428064,5.0,0.16281211673601892,0.03260643054421017,4.9932517610373335,physical_exposure
D,matched_target_exposure,D_target_550,target,550,drag_updated,0.00041667471724428064,5.0,0.16303641530081098,0.032606464071848744,5.0001255868026115,physical_exposure
D,matched_spacetime,D_target_550,target,550,drag_updated,0.00041667471724428064,0.0020833735862214034,6.7781079643787e-05,0.032534153365199076,0.0020833823115953783,physical_exposure
D,matched_thermal_energy,D_target_550,target,550,drag_updated,0.00041667471724428064,0.0003473495408466649,1.1300761785031567e-05,0.0325341283335196,0.0003473509930612925,gaussian_tail
D,localized_tracking,D_protected_550,protected,550,drag_updated,0.00041667471724428064,5.0,1.2737401342320876e-81,0.007651092585925859,1.6647820163294393e-79,no_encounter
D,matched_target_exposure,D_protected_550,protected,550,drag_updated,0.00041667471724428064,5.0,0.03827561758763696,0.007655078381554474,5.000029481065162,physical_exposure
D,matched_spacetime,D_protected_550,protected,550,drag_updated,0.00041667471724428064,0.0020833735862214034,1.5940103347572633e-05,0.007651094245661204,0.002083375636970094,physical_exposure
D,matched_thermal_energy,D_protected_550,protected,550,drag_updated,0.00041667471724428064,0.0003473495408466649,2.6576062042693216e-06,0.007651092862644364,0.00034734988216452025,gaussian_tail
E,localized_tracking,E_target_400_i28,target,400,drag_updated,0.00043532078156962613,5.0,1.8542375161700977,0.4599239727730163,4.031617454055193,physical_exposure
E,matched_target_exposure,E_target_400_i28,target,400,drag_updated,0.00043532078156962613,5.0,2.307067256297784,0.4612169441298993,5.002130311257625,physical_exposure
E,matched_spacetime,E_target_400_i28,target,400,drag_updated,0.00043532078156962613,0.0021766039078481305,0.0009683133442846151,0.4448429205123812,0.002176753410325801,physical_exposure
E,matched_thermal_energy,E_target_400_i28,target,400,drag_updated,0.00043532078156962613,0.00036289896585922903,0.00016144205258692107,0.444837268468721,0.0003629238466072295,gaussian_tail
E,localized_tracking,E_protected_400_i51,protected,400,drag_updated,0.00043532078156962613,5.0,0.00617976411059254,0.09819565951548961,0.06293316976620265,physical_exposure
E,matched_target_exposure,E_protected_400_i51,protected,400,drag_updated,0.00043532078156962613,5.0,0.494758562118679,0.09894309307880306,5.000435570824831,physical_exposure
E,matched_spacetime,E_protected_400_i51,protected,400,drag_updated,0.00043532078156962613,0.0021766039078481305,0.00021370137923289992,0.09817968720524825,0.002176635364361564,physical_exposure
E,matched_thermal_energy,E_protected_400_i51,protected,400,drag_updated,0.00043532078156962613,0.00036289896585922903,3.562972151433149e-05,0.09817941322876125,0.0003629042010193427,gaussian_tail
G,localized_tracking,G_target_250,target,250,drag_updated,0.0004552470439243458,5.0,12.622879388169855,179.3846667500892,0.0703676608310982,physical_exposure
G,matched_target_exposure,G_target_250,target,250,drag_updated,0.0004552470439243458,5.0,65.1426538175347,56.04918552709007,1.1622408640719588,physical_exposure
G,matched_spacetime,G_target_250,target,250,drag_updated,0.0004552470439243458,0.002276235219621729,0.05814705807974019,25.45106537798075,0.002284661062952858,physical_exposure
G,matched_thermal_energy,G_target_250,target,250,drag_updated,0.0004552470439243458,0.0003795165147465038,0.0096776133832021,25.40614723690382,0.0003809162126378941,gaussian_tail
G,localized_tracking,G_protected_250,protected,250,drag_updated,0.0004552470439243458,5.0,6.0490682525904856e-80,1.9860722668347548,3.04574428312773e-80,no_encounter
G,matched_target_exposure,G_protected_250,protected,250,drag_updated,0.0004552470439243458,5.0,13.187795271784507,2.6315413207051597,5.011433857421112,physical_exposure
G,matched_spacetime,G_protected_250,protected,250,drag_updated,0.0004552470439243458,0.002276235219621729,0.004522516031381953,1.986268098189972,0.002276891037772388,physical_exposure
G,matched_thermal_energy,G_protected_250,protected,250,drag_updated,0.0004552470439243458,0.0003795165147465038,0.0007539763562158577,1.9861049141336362,0.0003796256435651344,gaussian_tail
