regime,alt_km,delta,sigma_h_km,sigma_v_km,kappa_h,advection_ms,patch_air_mass_kg,heating_fraction,E_thermal_min_J,tau_diff_s,tau_adv_s,transport_survivable_1h,classification
low,250,1.0,50.0,30.0,1000.0,0.0,32321.33602060358,0.5,1622531068.2342997,1250000.0,inf,True,thermodynamically_conceivable
low,250,1.0,50.0,30.0,1000.0,100.0,32321.33602060358,0.5,1622531068.2342997,1250000.0,500.0,False,transport_limited
low,250,1.0,50.0,30.0,1000.0,300.0,32321.33602060358,0.5,1622531068.2342997,1250000.0,166.66666666666666,False,transport_limited
low,250,1.0,50.0,30.0,100000.0,0.0,32321.33602060358,0.5,1622531068.2342997,12500.0,inf,True,thermodynamically_conceivable
low,250,1.0,50.0,30.0,100000.0,100.0,32321.33602060358,0.5,1622531068.2342997,12500.0,500.0,False,transport_limited
low,250,1.0,50.0,30.0,100000.0,300.0,32321.33602060358,0.5,1622531068.2342997,12500.0,166.66666666666666,False,transport_limited
low,250,1.0,50.0,30.0,1000000.0,0.0,32321.33602060358,0.5,1622531068.2342997,1250.0,inf,False,transport_limited
low,250,1.0,50.0,30.0,1000000.0,100.0,32321.33602060358,0.5,1622531068.2342997,1250.0,500.0,False,transport_limited
low,250,1.0,50.0,30.0,1000000.0,300.0,32321.33602060358,0.5,1622531068.2342997,1250.0,166.66666666666666,False,transport_limited
low,250,1.0,200.0,30.0,1000.0,0.0,517141.3763296573,0.5,25960497091.748795,20000000.0,inf,True,thermodynamically_conceivable
low,250,1.0,200.0,30.0,1000.0,100.0,517141.3763296573,0.5,25960497091.748795,20000000.0,2000.0,False,transport_limited
low,250,1.0,200.0,30.0,1000.0,300.0,517141.3763296573,0.5,25960497091.748795,20000000.0,666.6666666666666,False,transport_limited
low,250,1.0,200.0,30.0,100000.0,0.0,517141.3763296573,0.5,25960497091.748795,200000.0,inf,True,thermodynamically_conceivable
low,250,1.0,200.0,30.0,100000.0,100.0,517141.3763296573,0.5,25960497091.748795,200000.0,2000.0,False,transport_limited
low,250,1.0,200.0,30.0,100000.0,300.0,517141.3763296573,0.5,25960497091.748795,200000.0,666.6666666666666,False,transport_limited
low,250,1.0,200.0,30.0,1000000.0,0.0,517141.3763296573,0.5,25960497091.748795,20000.0,inf,True,thermodynamically_conceivable
low,250,1.0,200.0,30.0,1000000.0,100.0,517141.3763296573,0.5,25960497091.748795,20000.0,2000.0,False,transport_limited
low,250,1.0,200.0,30.0,1000000.0,300.0,517141.3763296573,0.5,25960497091.748795,20000.0,666.6666666666666,False,transport_limited
low,250,1.0,1000.0,30.0,1000.0,0.0,12928534.40824143,0.5,649012427293.7197,500000000.0,inf,True,thermodynamically_conceivable
low,250,1.0,1000.0,30.0,1000.0,100.0,12928534.40824143,0.5,649012427293.7197,500000000.0,10000.0,True,thermodynamically_conceivable
low,250,1.0,1000.0,30.0,1000.0,300.0,12928534.40824143,0.5,649012427293.7197,500000000.0,3333.3333333333335,False,transport_limited
low,250,1.0,1000.0,30.0,100000.0,0.0,12928534.40824143,0.5,649012427293.7197,5000000.0,inf,True,thermodynamically_conceivable
