altitude_km,sigma_h_km,sigma_v_km,delta,dT_assumed_K,air_mass_kg,E_min_J,orbital_energy_removal_W_per_kg,E_min_over_orbital_per_day
300.0,100.0,10.0,0.5,333.3333333333333,52504.68021618124,17571566312.34865,0.25621273374005543,793772.4527890356
300.0,100.0,10.0,2.0,666.6666666666666,52504.68021618124,35143132624.6973,0.25621273374005543,1587544.9055780713
300.0,100.0,10.0,10.0,909.090909090909,52504.68021618124,47922453579.13269,0.25621273374005543,2164833.9621519158
300.0,100.0,30.0,0.5,333.3333333333333,157514.04064854368,52714698937.04595,0.25621273374005543,2381317.358367107
300.0,100.0,30.0,2.0,666.6666666666666,157514.04064854368,105429397874.0919,0.25621273374005543,4762634.716734214
300.0,100.0,30.0,10.0,909.090909090909,157514.04064854368,143767360737.39804,0.25621273374005543,6494501.886455745
300.0,300.0,10.0,0.5,333.3333333333333,472542.12194563117,158144096811.13788,0.25621273374005543,7143952.075101322
300.0,300.0,10.0,2.0,666.6666666666666,472542.12194563117,316288193622.27576,0.25621273374005543,14287904.150202643
300.0,300.0,10.0,10.0,909.090909090909,472542.12194563117,431302082212.1942,0.25621273374005543,19483505.65936724
300.0,300.0,30.0,0.5,333.3333333333333,1417626.3658368934,474432290433.41364,0.25621273374005543,21431856.225303963
300.0,300.0,30.0,2.0,666.6666666666666,1417626.3658368934,948864580866.8273,0.25621273374005543,42863712.450607926
300.0,300.0,30.0,10.0,909.090909090909,1417626.3658368934,1293906246636.5825,0.25621273374005543,58450516.978101715
300.0,1000.0,10.0,0.5,333.3333333333333,5250468.021618124,1757156631234.8655,0.25621273374005543,79377245.27890357
300.0,1000.0,10.0,2.0,666.6666666666666,5250468.021618124,3514313262469.731,0.25621273374005543,158754490.55780715
300.0,1000.0,10.0,10.0,909.090909090909,5250468.021618124,4792245357913.27,0.25621273374005543,216483396.21519157
300.0,1000.0,30.0,0.5,333.3333333333333,15751404.06485437,5271469893704.596,0.25621273374005543,238131735.83671072
300.0,1000.0,30.0,2.0,666.6666666666666,15751404.06485437,10542939787409.191,0.25621273374005543,476263471.67342144
300.0,1000.0,30.0,10.0,909.090909090909,15751404.06485437,14376736073739.807,0.25621273374005543,649450188.6455747
400.0,100.0,10.0,0.5,333.3333333333333,9663.39028432233,3234014615.1532063,0.04611579333373751,811668.2378537268
400.0,100.0,10.0,2.0,666.6666666666666,9663.39028432233,6468029230.306413,0.04611579333373751,1623336.4757074537
400.0,100.0,10.0,10.0,909.090909090909,9663.39028432233,8820039859.508743,0.04611579333373751,2213640.648691982
400.0,100.0,30.0,0.5,333.3333333333333,28990.17085296699,9702043845.459618,0.04611579333373751,2435004.71356118
400.0,100.0,30.0,2.0,666.6666666666666,28990.17085296699,19404087690.919235,0.04611579333373751,4870009.42712236
400.0,100.0,30.0,10.0,909.090909090909,28990.17085296699,26460119578.52623,0.04611579333373751,6640921.946075946
400.0,300.0,10.0,0.5,333.3333333333333,86970.51255890097,29106131536.378853,0.04611579333373751,7305014.140683541
400.0,300.0,10.0,2.0,666.6666666666666,86970.51255890097,58212263072.757706,0.04611579333373751,14610028.281367082
400.0,300.0,10.0,10.0,909.090909090909,86970.51255890097,79380358735.57869,0.04611579333373751,19922765.83822784
400.0,300.0,30.0,0.5,333.3333333333333,260911.5376767029,87318394609.13657,0.04611579333373751,21915042.422050625
400.0,300.0,30.0,2.0,666.6666666666666,260911.5376767029,174636789218.27313,0.04611579333373751,43830084.84410125
400.0,300.0,30.0,10.0,909.090909090909,260911.5376767029,238141076206.73608,0.04611579333373751,59768297.51468352
400.0,1000.0,10.0,0.5,333.3333333333333,966339.0284322329,323401461515.3206,0.04611579333373751,81166823.78537269
400.0,1000.0,10.0,2.0,666.6666666666666,966339.0284322329,646802923030.6412,0.04611579333373751,162333647.57074538
400.0,1000.0,10.0,10.0,909.090909090909,966339.0284322329,882003985950.8744,0.04611579333373751,221364064.86919823
400.0,1000.0,30.0,0.5,333.3333333333333,2899017.0852966984,970204384545.9617,0.04611579333373751,243500471.356118
400.0,1000.0,30.0,2.0,666.6666666666666,2899017.0852966984,1940408769091.9233,0.04611579333373751,487000942.712236
400.0,1000.0,30.0,10.0,909.090909090909,2899017.0852966984,2646011957852.6226,0.04611579333373751,664092194.6075945
