scenario,case,obj_type,pair,delta_a_km,a_drop_km,extra_deltav_ms,encounter_count,delta_lifetime_d
baseline,A_target_highAm_400,target,A,0.0,280.0,0.0,0,0.0
uniform,A_target_highAm_400,target,A,0.0,280.0,7.967295160603104,1,4.846570588863212
localized_tracking,A_target_highAm_400,target,A,0.0,280.0,3.530255998915804,1,2.217243886976135
baseline,A_protected_400,protected,A,0.0,280.0,0.0,0,0.0
uniform,A_protected_400,protected,A,0.0,280.0,0.432725679866959,1,6.396353708106062
localized_tracking,A_protected_400,protected,A,0.0,280.0,4.246269726294484e-06,1,-0.031401924048111596
baseline,D_target_550,target,D,0.0,430.0,0.0,0,0.0
uniform,D_target_550,target,D,0.0,430.0,0.16303641530081098,1,4.106236437835605
localized_tracking,D_target_550,target,D,0.0,430.0,0.16281211673601892,1,4.079561551118786
baseline,D_protected_550,protected,D,0.0,32.18310035586455,0.0,0,0.0
uniform,D_protected_550,protected,D,0.11336755305364932,32.2964679089182,0.03827561758763696,1,0.0
localized_tracking,D_protected_550,protected,D,-9.75420462054899e-05,32.18300281381835,1.2737401342320876e-81,0,0.0
baseline,E_target_400_i28,target,E,0.0,280.0,0.0,0,0.0
uniform,E_target_400_i28,target,E,0.0,280.0,2.307067256297784,1,4.652103494951426
localized_tracking,E_target_400_i28,target,E,0.0,280.0,1.8542375161700977,1,4.891298914996412
baseline,E_protected_400_i51,protected,E,0.0,280.0,0.0,0,0.0
uniform,E_protected_400_i51,protected,E,0.0,280.0,0.494758562118679,1,6.783201802070607
localized_tracking,E_protected_400_i51,protected,E,0.0,280.0,0.00617976411059254,29,-0.039369136344760136
baseline,G_target_250,target,G,0.0,130.0,0.0,0,0.0
uniform,G_target_250,target,G,0.0,130.0,64.16515551552945,1,1.2311045714377504
localized_tracking,G_target_250,target,G,0.0,130.0,12.622879388169855,1,0.7300145398029072
baseline,G_protected_250,protected,G,0.0,130.0,0.0,0,0.0
uniform,G_protected_250,protected,G,0.0,130.0,13.187795271784507,1,5.13592102700375
localized_tracking,G_protected_250,protected,G,0.0,130.0,6.0490682525904856e-80,0,-0.01777905906171462
optimized_localized,A_target_highAm_400,target,A,,280.0,3.5192308751770955,1,
optimized_localized,A_protected_400,protected,A,,280.0,3.69099074125078e-06,1,
