experiment,t_s,case,obj_type,extra_deltav_ms,encounter_count,a_drop_km
fixed_pulse_bestcase_site,3600.0,A_target_highAm_400,target,0.003859768120630417,1,280.0
fixed_pulse_bestcase_site,3600.0,A_protected_400,protected,0.0002724601730491641,1,6.436576297406646
fixed_pulse_bestcase_site,7200.0,A_target_highAm_400,target,0.005029933771332662,1,280.0
fixed_pulse_bestcase_site,7200.0,A_protected_400,protected,0.0003256622802743848,1,6.459372493751289
fixed_pulse_bestcase_site,10800.0,A_target_highAm_400,target,0.002666649336663467,1,280.0
fixed_pulse_bestcase_site,10800.0,A_protected_400,protected,0.00023278711367066935,1,6.450520404662711
fixed_pulse_bestcase_site,14400.0,A_target_highAm_400,target,0.0027324569313023433,1,280.0
fixed_pulse_bestcase_site,14400.0,A_protected_400,protected,0.00021671691731224896,1,6.463246709851774
fixed_pulse_bestcase_site,18000.0,A_target_highAm_400,target,0.005790347718259848,1,280.0
fixed_pulse_bestcase_site,18000.0,A_protected_400,protected,0.00035941410007016755,1,6.432050937098211
fixed_pulse_bestcase_site,21600.0,A_target_highAm_400,target,0.003445067413110256,1,280.0
fixed_pulse_bestcase_site,21600.0,A_protected_400,protected,0.0002699924501409995,1,6.435243593551604
fixed_pulse_bestcase_site,25200.0,A_target_highAm_400,target,0.0021195340180376627,1,280.0
fixed_pulse_bestcase_site,25200.0,A_protected_400,protected,0.00018266999772238653,1,6.446229794406463
fixed_pulse_bestcase_site,28800.0,A_target_highAm_400,target,0.005374998104873804,1,280.0
fixed_pulse_bestcase_site,28800.0,A_protected_400,protected,0.00034698363474269307,1,6.459579264658714
fixed_pulse_bestcase_site,32400.0,A_target_highAm_400,target,0.00465048925014956,1,280.0
fixed_pulse_bestcase_site,32400.0,A_protected_400,protected,0.0003200442508655023,1,6.458788004965754
fixed_pulse_bestcase_site,36000.0,A_target_highAm_400,target,0.0020011809544513534,1,280.0
fixed_pulse_bestcase_site,36000.0,A_protected_400,protected,0.0001748477827072227,1,6.469848452700717
fixed_pulse_bestcase_site,39600.0,A_target_highAm_400,target,0.00422287228243321,1,280.0
fixed_pulse_bestcase_site,39600.0,A_protected_400,protected,0.00030146555528901605,1,6.432785039820374
fixed_pulse_bestcase_site,43200.0,A_target_highAm_400,target,0.005694290995051531,1,280.0
fixed_pulse_bestcase_site,43200.0,A_protected_400,protected,0.00035621457926834373,1,6.442858300921216
fixed_pulse_bestcase_site,46800.0,A_target_highAm_400,target,0.0023685797488919194,1,280.0
fixed_pulse_bestcase_site,46800.0,A_protected_400,protected,0.00019349991461295528,1,6.452793949155421
fixed_pulse_bestcase_site,50400.0,A_target_highAm_400,target,0.0031907622935856477,1,280.0
